"ID","Message"
"279","INTERNAL_LOOKUP_CNAME: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; RD=RD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; XID=XID:win:UInt32; PacketData=PacketData:win:Binary; GUID=GUID:win:UnicodeString"
"280","INTERNAL_LOOKUP_ADDITIONAL: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; RD=RD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; XID=XID:win:UInt32; PacketData=PacketData:win:Binary; GUID=GUID:win:UnicodeString"
"281","RRL_TO_BE_DROPPED_RESPONSE: InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; PacketData=PacketData:win:Binary"
"282","RRL_TO_BE_TRUNCATED_RESPONSE: InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; PacketData=PacketData:win:Binary"
"283","RRL_TO_BE_LEAKED_RESPONSE: InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; PacketData=PacketData:win:Binary"
"284","RESPONSE_SUCCESS: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; AA=AA:win:UInt8; AD=AD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; DNSSEC=DNSSEC:win:UInt8; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; Scope=Scope:win:UnicodeString; Zone=Zone:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo= AdditionalInfo:win:UnicodeString; DataTag=DataTag:win:UInt64; ElapsedTime=ElapsedTime:win:UInt32; GUID=GUID:win:UnicodeString; EDNSCorrelationTag=EDNSCorrelationTag:win:GUID; EDNSScopeName=EDNSScopeName:win:UnicodeString; StaleRecordsPresent:win:UnicodeString"
"285","RESPONSE_FAILURE: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Reason=Reason:win:UnicodeString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RCODE=RCODE:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; Zone=Zone:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance: BufferSize:win:UInt32; ElapsedTime=ElapsedTime:win:UInt32; GUID=GUID:win:UnicodeString; EDNSCorrelationTag=EDNSCorrelationTag:win:GUID; EDNSScopeName=EDNSScopeName:win:UnicodeString"
"286","RECURSE_ALIAS_FAILURE: TCP=TCP:win:UInt8; Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; AA=AA:win:UInt8; AD=AD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; ServerScope=ServerScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance AdditionalInfo:win:UnicodeString; AliasFailureReason=AliasFailureReason:win:UnicodeString"
"287","QUERY_RECEIVED: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Source=Source:win:AnsiString; RD=RD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; PacketData=PacketData:win:Binary; GUID=GUID:win:UnicodeString; EDNSExtendedRCodeBits=EDNSExtendedRCodeBits:win:UInt8; EDNSFlags=EDNSFlags:win:UInt32; EDNSUdpPayloadSize=EDNSUdpPayloadSize:win:UInt32; EDNSScopeName=EDNSScopeName:win:UnicodeString; EDNSVirtualizationInstance=EDNSVirtualizationInstance:win:UnicodeString; EDNSDataTag=EDNSDataTag:win:UInt64; EDNSCorrelationTag=EDNSCorrelationTag:win:GUID"
"288","DNSSEC_VALIDATION_FAILURE: QNAME=QNAME:win:AnsiString; RRTYPE=RRTYPE:win:UInt32; QueryGUID=QueryGUID:win:UnicodeString; QXID=QXID:win:UInt32; XID=XID:win:UInt32; CacheNodeName=CacheNodeName:win:AnsiString"
"289","RECURSE_QUERY_OUT: TCP=TCP:win:UInt8; Destination=Destination:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; RD=RD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; QXID=QXID:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; RecursionScope=RecursionScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; PolicyName=PolicyName:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString; EDNSScopeName=EDNSScopeName:win:UnicodeString; EDNSCorrelationTag=EDNSCorrelationTag:win:GUID"
"290","RECURSE_RESPONSE_IN: TCP=TCP:win:UInt8; Source=Source:win:AnsiString; InterfaceIP=InterfaceIP:win:AnsiString; AA=AA:win:UInt8; AD=AD:win:UInt8; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; XID=XID:win:UInt32; RemoteQueriesSent=RecursionDepth:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; RecursionScope=RecursionScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; PacketData=PacketData:win:Binary; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString; QueriesAttached=QueriesAttached:win:UInt32; EDNSScopeName=EDNSScopeName:win:UnicodeString; EDNSCorrelationTag=EDNSCorrelationTag:win:GUID"
"291","RECURSE_QUERY_TIMEOUT: TCP=TCP:win:UInt8; InterfaceIP=InterfaceIP:win:AnsiString; Destination=Destination:win:AnsiString; QNAME=QNAME:win:AnsiString; QTYPE=QTYPE:win:UInt32; QXID=QXID:win:UInt32; XID=XID:win:UInt32; Port=Port:win:UInt32; Flags=Flags:win:UInt32; RecursionScope=RecursionScope:win:UnicodeString; CacheScope=CacheScope:win:UnicodeString; AdditionalInfo = VirtualizationInstance: AdditionalInfo:win:UnicodeString; GUID=GUID:win:UnicodeString; EDNSScopeName=EDNSScopeName:win:UnicodeString; EDNSCorrelationTag=EDNSCorrelationTag:win:GUID"
